"Niveau 1";"Niveau 2";"Niveau 3";"Niveau 4";"Niveau 5";"Niveau 6";"Niveau 7";"Niveau 8";"Niveau 9";"Priorité";"Progression";"Date de début";"Échéance";"Durée (jours)";Effort (jours);"Jalon";"Ressources";
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AA";"4AA Demande de désignation d'un mandataire ad hoc";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AB";"4AB Demande d'ouverture de la procédure de conciliation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AC";"4AC Demande d'ouverture d'une procédure de règlement amiable ou de désignation d'un conciliateur en matière agricole";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AD";"4AD Demande d'ouverture de la procédure de sauvegarde";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AE";"4AE Demande d'ouverture de la procédure de redressement judiciaire (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AF";"4AF Demande d'ouverture de la procédure de liquidation judiciaire (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AG";"4AG Demande de prononcé de la liquidation judiciaire après résolution du plan de sauvegarde ou du plan de redressement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AH";"4AH Demande de reprise de la procédure de liquidation judiciaire (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AI";"4AI Demande d'extension de la procédure de sauvegarde pour confusion du patrimoine ou fictivité d'une personne morale (art. L. 621-2 al. 2)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AJ";"4AJ Demande d'extension de la procédure de redressement judiciaire pour confusion de patrimoine ou fictivité d'une personne morale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AK";"4AK Demande d'extension de la procédure de liquidation judiciaire pour confusion de patrimoine ou fictivité d'une personne morale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AL";"4AL Demande d'ouverture d'une procédure de redressement judiciaire après résolution du plan de sauvegarde";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AM";"4AM Demande d'ouverture de la procédure de sauvegarde financière accélérée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AN";"4AN Demande d'ouverture de la procédure de sauvegarde accélérée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AO";"4AO Demande d'ouverture de la procédure de rétablissement professionnel concomitamment à la procédure de liquidation judiciaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4A Désignation d'un mandataire ad hoc, ouverture d'une procédure de conciliation ou de règlement amiable agricole, de sauvegarde, de sauvegarde financière accélérée, de sauvegarde accélérée, de redressement ou de liquidation judiciaire";"4AP";"4AP Demande de prononcé de la liquidation judiciaire après clôture d'une procédure de rétablissement professionnel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4B L'entreprise au cours de la procédure - Délais, organes - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4BA";"4BA Appel sur une décision relative à la désignation, au remplacement ou à la mission d'un expert, de l'administrateur, du mandataire judiciaire, du commissaire à l'exécution du plan ou du liquidateur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4B L'entreprise au cours de la procédure - Délais, organes - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4BB";"4BB Appel sur des décisions relatives au déroulement de la procédure (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4C L'entreprise au cours de la procédure - Autorisations, plan de cession et actions diverses - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4CA";"4CA Appel sur des décisions relatives à la nullité des actes du débiteur non autorisés par le juge commissaire ou d'homologation de compromis ou de transaction (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4C L'entreprise au cours de la procédure - Autorisations, plan de cession et actions diverses - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4CB";"4CB Appel sur des décisions relatives au remplacement du ou des dirigeants, ou de privation du droit de vote, ou de cession forcée des actions (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4C L'entreprise au cours de la procédure - Autorisations, plan de cession et actions diverses - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4CC";"4CC Appel sur des décisions relatives au plan de cession (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4C L'entreprise au cours de la procédure - Autorisations, plan de cession et actions diverses - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4CD";"4CD Appel sur des décisions statuant sur la nullité des actes interdits au cessionnaire (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4D L'entreprise au cours de la procédure - Période suspecte et sort des créances - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4DA";"4DA Appel sur les décisions relatives à la modification de la date de la cessation des paiements (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4D L'entreprise au cours de la procédure - Période suspecte et sort des créances - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4DB";"4DB Appel sur des décisions relatives à la nullité des actes de la période suspecte (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4D L'entreprise au cours de la procédure - Période suspecte et sort des créances - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4DC";"4DC Appel sur une décision du juge commissaire relative à l'admission des créances (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4D L'entreprise au cours de la procédure - Période suspecte et sort des créances - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4DD";"4DD Appel sur une décision du juge commissaire relative à la réclamation sur l'état des créances (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4D L'entreprise au cours de la procédure - Période suspecte et sort des créances - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4DE";"4DE Appel sur une décision relative au relevé de forclusion (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4D L'entreprise au cours de la procédure - Période suspecte et sort des créances - (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4DF";"4DF Appel sur une décision du juge commissaire relative à la vente d'actifs";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4E Conciliation (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4EA";"4EA Recours contre les décisions relatives à l'homologation ou au constat de l'accord";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4E Conciliation (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4EB";"4EB Demande de résolution de l'accord";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4E Conciliation (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4EC";"4EC Autres demandes postérieures à la clôture de la procédure de conciliation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FA";"4FA Appel sur une décision relative à l'admission du plan de sauvegarde";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FB";"4FB Appel sur une décision relative à la modification substantielle du plan de sauvegarde";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FC";"4FC Demande en nullité d'un acte passé en violation d'une inaliénabilité temporaire formée après clôture de la procédure de sauvegarde";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FD";"4FD Demande de résolution du plan de sauvegarde formée après clôture de la procédure";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FE";"4FE Demande visant à faire constater l'exécution du plan de sauvegarde";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FF";"4FF Autres demandes postérieures à la clôture de la procédure de sauvegarde ou de sauvegarde financière accélérée ou de sauvegarde accélérée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FG";"4FG Appel sur une décision relative à l'admission du plan arrêté en sauvegarde financière accélérée ou en sauvegarde accélérée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FH";"4FH Appel sur une décision relative à la modification substantielle du plan arrêté en sauvegarde financière accélérée ou en sauvegarde accélérée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FI";"4FI Demande en nullité d'un acte passé en violation d'une inaliénabilité temporaire formée après clôture de la procédure de sauvegarde financière accélérée ou de sauvegarde accélérée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FJ";"4FJ Demande de résolution du plan arrêté en sauvegarde financière accélérée ou en sauvegarde accélérée formée après clôture de la procédure";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4F Plan de sauvegarde, plan arrêté en sauvegarde financière accélérée et plan arrêté en sauvegarde accélérée";"4FK";"4FK Demande visant à faire constater l'exécution du plan arrêté en sauvegarde financière accélérée ou en sauvegarde accélérée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4G Plan de redressement de l'entreprise (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4GA";"4GA Appel sur une décision relative à l'admission du plan de redressement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4G Plan de redressement de l'entreprise (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4GB";"4GB Appel sur une décision relative à la modification substantielle du plan de redressement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4G Plan de redressement de l'entreprise (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4GC";"4GC Demande en nullité d'un acte passé en violation d'une inaliénabilité temporaire formée après clôture de la procédure de redressement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4G Plan de redressement de l'entreprise (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4GD";"4GD Demande de résolution du plan de redressement formée après clôture de la procédure";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4G Plan de redressement de l'entreprise (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4GE";"4GE Appel sur une décision relative au constat de l'exécution du plan de redressement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4G Plan de redressement de l'entreprise (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4GF";"4GF Autres demandes postérieures à la clôture de la procédure de redressement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4H Liquidation judiciaire (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4HA";"4HA Appel contre des décisions prononçant la liquidation judiciaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4H Liquidation judiciaire (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4HB";"4HB Appel contre des décisions statuant sur la clôture de la liquidation judiciaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4H Liquidation judiciaire (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4HC";"4HC Autres demandes postérieures à la clôture de la procédure de liquidation judiciaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4IA";"4IA Action en responsabilité pour insuffisance d'actif à l'encontre des dirigeants (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4IB";"4IB Action en responsabilité aux fins de condamnation au paiement de tout ou partie des dettes sociales (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4IC";"4IC Demande de prononcé de la faillite personnelle (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4ID";"4ID Demande de prononcé d'une interdiction de diriger, gérer, administrer ou contrôler (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4IE";"4IE Action en responsabilité exercée contre l'administrateur, le mandataire judiciaire , le liquidateur, le commissaire à l'exécution du plan (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4IF";"4IF Recours devant le tribunal contre les décisions du juge commissaire et appels contre les décisions statuant sur ces recours";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4IG";"4IG Action en responsabilité exercée contre l'Etat, les collectivités territoriales (introduite après le 1er janvier 2006)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4IH";"4IH Action en responsabilité exercée contre les créanciers (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4I Autres demandes en matière de sauvegarde, de redressement et de liquidation judiciaires (Loi n°2005-845 du 26 juillet 2005 de sauvegarde des entreprises)";"4II";"4II Recours devant la cour d'appel contre les décisions du juge commis";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JA";"4JA Recours contre la nature principale, secondaire ou territorial d'une procédure collective ouverte dans le cadre du règlement européen d'insolvabilité";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JB";"4JB Contestation de l'engagement par un créancier local";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JC";"4JC Demande de suspension, de renouvellement ou de levée de la suspension de la réalisation de l'ensemble des actifs par le praticien de l'insolvabilité de la procédure d'insolvabilité principale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JD";"4JD Demande de suspension, de renouvellement ou de levée de la suspension de la réalisation de l'ensemble des actifs formée par le praticien de l'insolvabilité désigné dans une procédure ouverte à l'encontre d'une autre société appartenant au même groupe de sociétés que le débiteur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JE";"4JE Demande de vérification des conditions d'approbation d'un engagement pris en application de l'article 36 du REI";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JF";"4JF Demande de mesure provisoire ou conservatoire en vue d'assurer le respect des termes de l'engagement pris";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JG";"4JG Demande d'autorisation des licenciements par le tribunal lorsqu'une procédure d'insolvabilité a été ouverte dans un autre état membre en application de l'article 13";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JH";"4JH Demande d'ouverture de la procédure de coordination collective";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JI";"4JI Demande relative aux coûts de la procédure de coordination collective";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JJ";"4JJ Demande de révocation du coordinateur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JK";"4JK Demande de suspension de la procédure d'insolvabilité ouverte à l'égard d'une société française membre d'un groupe de société, formée par le coordinateur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.9. Procédures collectives civiles";"4J Procédures d'insolvabilité - Règlement (UE) n°2015-848";"4JL";"4JL Demande de levée de suspension de la procédure d'insolvabilité ouverte à l'égard d'une société française membre d'un groupe de société, formée par le coordinateur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.10. Propriété industrielle";"39 Concurrence";"39A";"39A Demande en cessation et/ou en réparation, de pratiques anticoncurrentielles restrictives";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.10. Propriété industrielle";"39 Concurrence";"39B";;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.10. Propriété industrielle";"39 Concurrence";"39C";;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.10. Propriété industrielle";"39 Concurrence";"39G";"39G Demande en cessation d'utilisation d'un nom commercial, d'une raison sociale, ou d'une enseigne";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.10. Propriété industrielle";"39 Concurrence";"39H";"39H Demande en cessation de concurrence déloyale ou illicite et/ou en dommages et intérêts";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.10. Propriété industrielle";"39 Concurrence";"39I";"39I Demande en cessation d'utilisation d'un nom de domaine";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.10. Propriété industrielle";"39 Concurrence";"39J";"39J Demande en réparation des préjudices résultant de la rupture brutale d'une relation commerciale établie";;;;;;;;;;;
